interaction_id,investor_id,agent_id,date,outcome,objections_raised,duration_sec,sentiment
int_aa7c295c,inv_72783524,agt_109,2025-10-15,Follow-Up,"[""Pocket money issue"", ""Send details on WhatsApp""]",448,Curious
int_fd05d4f1,inv_b5176a8f,agt_116,2025-10-15,Follow-Up,"[""EMI pressure"", ""Send details on WhatsApp""]",216,Busy
int_4b91101e,inv_9e9947f7,agt_100,2025-10-15,Converted,"[""Initial hesitation resolved""]",1088,Trusting
int_2d8f14f4,inv_13638c5d,agt_119,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",47,Frustrated
int_02102e27,inv_e52ad65f,agt_103,2025-10-15,Rejected,"[""Competitor has zero commission""]",71,Annoyed
int_00b48a7e,inv_faeaa974,agt_113,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",355,Confused
int_dc74ded9,inv_0083808f,agt_110,2025-10-15,Follow-Up,"[""Need to ask family"", ""Past returns negative"", ""Send details on WhatsApp""]",437,Busy
int_69b1b855,inv_11b3332e,agt_106,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",509,Curious
int_97b7bd63,inv_fbc6190d,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",20,Frustrated
int_9e24bb72,inv_86dae710,agt_113,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",260,Curious
int_75599929,inv_ef8e89fc,agt_118,2025-10-15,Follow-Up,"[""Income is irregular"", ""Send details on WhatsApp""]",406,Confused
int_144fdc2a,inv_a60f34fc,agt_103,2025-10-15,Converted,"[""Competitor has zero commission""]",760,Enthusiastic
int_e22e5d9a,inv_4b7ba182,agt_116,2025-10-15,Rejected,"[""Need liquidity for business""]",212,Skeptical
int_b680afe2,inv_565b3dbb,agt_113,2025-10-15,Follow-Up,"[""Need liquidity for business"", ""Send details on WhatsApp""]",469,Curious
int_fd396eb9,inv_51d7b967,agt_111,2025-10-15,Rejected,"[""EMI pressure""]",81,Annoyed
int_38c899a9,inv_69aba07f,agt_108,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",29,Frustrated
int_af5db319,inv_675bbc90,agt_112,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",51,Frustrated
int_a601088f,inv_ee863d84,agt_107,2025-10-15,Rejected,"[""EMI pressure""]",132,Skeptical
int_5e6b1ef2,inv_6fb640bd,agt_107,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Past returns negative"", ""Send details on WhatsApp""]",416,Curious
int_ffac2e7b,inv_3eee4139,agt_102,2025-10-15,Follow-Up,"[""Need to ask family"", ""Past returns negative"", ""Send details on WhatsApp""]",587,Busy
int_38e23134,inv_cd096931,agt_101,2025-10-15,Follow-Up,"[""EMI pressure"", ""Past returns negative"", ""Send details on WhatsApp""]",585,Curious
int_8148845b,inv_3e9258fb,agt_105,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",25,Frustrated
int_856387ef,inv_47cf7f88,agt_115,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",32,Frustrated
int_f9685381,inv_db11baa7,agt_115,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Past returns negative"", ""Send details on WhatsApp""]",324,Curious
int_c8b549e6,inv_db611bed,agt_105,2025-10-15,Rejected,"[""Need to ask family""]",94,Firm
int_73f00424,inv_b6d181a2,agt_112,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",39,Frustrated
int_eb3d95d2,inv_be78ab25,agt_103,2025-10-15,Rejected,"[""Market is high""]",113,Firm
int_cfab897d,inv_67ce9cae,agt_102,2025-10-15,Converted,"[""Market is high"", ""Past returns negative""]",649,Trusting
int_1a1b9fa4,inv_e4098eb8,agt_107,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",27,Frustrated
int_e102053c,inv_87308067,agt_106,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",217,Skeptical
int_9bfacc8d,inv_0fc0acd3,agt_101,2025-10-15,Rejected,"[""Market is high""]",95,Annoyed
int_d80aaeab,inv_adac7957,agt_100,2025-10-15,Rejected,"[""Competitor has zero commission""]",195,Skeptical
int_7863617e,inv_70fdf9a4,agt_116,2025-10-15,Rejected,"[""Competitor has zero commission""]",189,Annoyed
int_2126a52c,inv_3b63eb63,agt_105,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Past returns negative"", ""Send details on WhatsApp""]",379,Confused
int_19d4af43,inv_15f80749,agt_118,2025-10-15,Rejected,"[""Income is irregular""]",186,Annoyed
int_a1115f8c,inv_c96687b1,agt_100,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",210,Annoyed
int_9dd7736c,inv_9f513af2,agt_118,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",594,Confused
int_e0a52c63,inv_adfb5ff8,agt_105,2025-10-15,Converted,"[""Competitor has zero commission""]",755,Enthusiastic
int_118eb0ba,inv_b74ae401,agt_103,2025-10-15,Rejected,"[""Need to ask family""]",220,Skeptical
int_8c756d86,inv_6b922553,agt_117,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",165,Annoyed
int_7517571e,inv_4a1b7802,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",38,Frustrated
int_7fa2752b,inv_53793f6b,agt_101,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",54,Frustrated
int_01dbeac7,inv_86d07ad0,agt_118,2025-10-15,Rejected,"[""Market is high""]",127,Firm
int_1a322fe3,inv_a786403e,agt_106,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",197,Annoyed
int_58505c5c,inv_3ccf097a,agt_106,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",124,Annoyed
int_52c2f5e4,inv_d1e90b9b,agt_105,2025-10-15,Converted,"[""Initial hesitation resolved""]",729,Enthusiastic
int_9f92376e,inv_15262636,agt_102,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",125,Skeptical
int_50dbeb72,inv_6b2b7215,agt_113,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",20,Frustrated
int_0cc51270,inv_eb8a101a,agt_108,2025-10-15,Converted,"[""Initial hesitation resolved""]",664,Trusting
int_8d23cc11,inv_ac928dff,agt_101,2025-10-15,Rejected,"[""Need to ask family""]",177,Annoyed
int_3f8f0ae7,inv_970c6d06,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",28,Frustrated
int_0f5914a5,inv_ee6bcb83,agt_114,2025-10-15,Converted,"[""Initial hesitation resolved""]",712,Enthusiastic
int_872cd9aa,inv_b0f62923,agt_104,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",253,Busy
int_881ec615,inv_566731e4,agt_118,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",110,Firm
int_765da839,inv_b25eb994,agt_110,2025-10-15,Rejected,"[""Competitor has zero commission"", ""Past returns negative""]",136,Annoyed
int_4a79239c,inv_33693ff9,agt_111,2025-10-15,Rejected,"[""Market is high""]",99,Skeptical
int_a41b908d,inv_d05d04ff,agt_101,2025-10-15,Rejected,"[""Competitor has zero commission""]",78,Skeptical
int_90b7ae4a,inv_113deeb6,agt_116,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",284,Confused
int_d4bf2f05,inv_59470841,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",20,Frustrated
int_01b1916f,inv_edad7359,agt_105,2025-10-15,Rejected,"[""Need to ask family""]",237,Annoyed
int_cdfc1344,inv_b20ef2f1,agt_108,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",72,Firm
int_8526f761,inv_fc992bec,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",35,Frustrated
int_e5ce6f3e,inv_0c725f6f,agt_113,2025-10-15,Rejected,"[""Need liquidity for business"", ""Past returns negative""]",201,Firm
int_355e58a6,inv_f3b56a6d,agt_101,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",461,Busy
int_56f3dc33,inv_c6b8e056,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",42,Frustrated
int_a37a050c,inv_7213112d,agt_114,2025-10-15,Rejected,"[""Need to ask family""]",205,Annoyed
int_16de935c,inv_81ebb43c,agt_116,2025-10-15,Rejected,"[""EMI pressure"", ""Past returns negative""]",116,Skeptical
int_1a38f8b5,inv_950a8aca,agt_106,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Past returns negative"", ""Send details on WhatsApp""]",363,Busy
int_8ce6ed5c,inv_6c6d9b2b,agt_102,2025-10-15,Rejected,"[""Market is high""]",164,Firm
int_948b4a37,inv_20dc1ca7,agt_116,2025-10-15,Converted,"[""Need to ask family""]",1006,Relieved
int_1d439385,inv_ccb93174,agt_116,2025-10-15,Rejected,"[""Need liquidity for business""]",203,Skeptical
int_529e9021,inv_646ea22d,agt_116,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Past returns negative"", ""Send details on WhatsApp""]",323,Confused
int_c63b763e,inv_e3a76f62,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",21,Frustrated
int_495793e5,inv_609b148d,agt_108,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",28,Frustrated
int_00fcc6b7,inv_0a9edbca,agt_113,2025-10-15,Converted,"[""Need to ask family""]",653,Enthusiastic
int_fd315877,inv_e37a96d8,agt_107,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",53,Frustrated
int_84867238,inv_9116b47a,agt_108,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",37,Frustrated
int_442ef0f7,inv_3e0ba226,agt_112,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",34,Frustrated
int_68a463e6,inv_e4ff367a,agt_117,2025-10-15,Rejected,"[""Competitor has zero commission""]",205,Skeptical
int_eb071e91,inv_960d1e3f,agt_114,2025-10-15,Follow-Up,"[""Need liquidity for business"", ""Send details on WhatsApp""]",292,Confused
int_d98818a5,inv_c7d72232,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",42,Frustrated
int_6ab5663f,inv_a548a4be,agt_106,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",31,Frustrated
int_036586e4,inv_6270a68b,agt_116,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",450,Busy
int_a01c7a2d,inv_f599eb04,agt_109,2025-10-15,Converted,"[""Need liquidity for business""]",702,Relieved
int_0bc226e8,inv_529659eb,agt_119,2025-10-15,Rejected,"[""Need to ask family""]",124,Annoyed
int_bccd18e6,inv_ee5a181d,agt_116,2025-10-15,Follow-Up,"[""Income is irregular"", ""Past returns negative"", ""Send details on WhatsApp""]",484,Curious
int_9dc93676,inv_511a6853,agt_110,2025-10-15,Rejected,"[""Competitor has zero commission"", ""Past returns negative""]",174,Skeptical
int_439cb9a8,inv_8f1ff7e3,agt_117,2025-10-15,Rejected,"[""Competitor has zero commission"", ""Past returns negative""]",162,Annoyed
int_92077016,inv_a739f334,agt_117,2025-10-15,Converted,"[""Initial hesitation resolved""]",985,Enthusiastic
int_3cb2fbc8,inv_aac59ce2,agt_107,2025-10-15,Rejected,"[""Competitor has zero commission""]",193,Skeptical
int_390b57c7,inv_883c8078,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",31,Frustrated
int_bd1855f7,inv_22f6c9eb,agt_101,2025-10-15,Converted,"[""Need to ask family"", ""Past returns negative""]",767,Trusting
int_355e49ee,inv_042f08b7,agt_109,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",561,Curious
int_2dc80a91,inv_0b8cf3bb,agt_107,2025-10-15,Rejected,"[""Market is high""]",173,Annoyed
int_63eb61c6,inv_a0e5e6f6,agt_104,2025-10-15,Follow-Up,"[""EMI pressure"", ""Past returns negative"", ""Send details on WhatsApp""]",371,Confused
int_85667332,inv_0f8161c1,agt_106,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",49,Frustrated
int_1aed7cef,inv_02f19422,agt_115,2025-10-15,Rejected,"[""Need to ask family""]",121,Annoyed
int_b5ea11e3,inv_2481f222,agt_112,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",227,Annoyed
int_0427a325,inv_136a2b4d,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",22,Frustrated
int_a9d10f16,inv_0118c6a8,agt_104,2025-10-15,Rejected,"[""EMI pressure"", ""Past returns negative""]",218,Skeptical
int_c3218689,inv_de326c60,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",41,Frustrated
int_5f208f79,inv_c50664fe,agt_110,2025-10-15,Converted,"[""Need to ask family"", ""Past returns negative""]",729,Relieved
int_67b1253f,inv_5d69b13f,agt_113,2025-10-15,Rejected,"[""Need to ask family""]",142,Skeptical
int_959d4547,inv_7eaafd18,agt_118,2025-10-15,Converted,"[""Pocket money issue"", ""Past returns negative""]",574,Enthusiastic
int_867a1f86,inv_cb4f30a6,agt_116,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",42,Frustrated
int_5a3020ae,inv_1e6c5444,agt_111,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",498,Curious
int_14a85a9d,inv_02e57ae6,agt_105,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",282,Confused
int_eccac579,inv_902a6ea0,agt_118,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",456,Busy
int_0ccccd3e,inv_77aabd20,agt_109,2025-10-15,Rejected,"[""Market is high""]",184,Skeptical
int_0d4fb88c,inv_36de4323,agt_106,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",409,Busy
int_6e2532d6,inv_5a36eaf9,agt_114,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",598,Curious
int_a6cbdd03,inv_93d8c0bf,agt_113,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",54,Frustrated
int_bfc0ab9f,inv_8d1d34ad,agt_119,2025-10-15,Converted,"[""Initial hesitation resolved""]",713,Relieved
int_4a39fd26,inv_d27ddb5b,agt_117,2025-10-15,Converted,"[""Initial hesitation resolved""]",672,Trusting
int_62866f2e,inv_e54202e1,agt_110,2025-10-15,Converted,"[""Initial hesitation resolved""]",1175,Relieved
int_0d7f36e8,inv_287c2b11,agt_117,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",532,Confused
int_d95cdd45,inv_61ad9856,agt_104,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",479,Busy
int_ba706e9a,inv_56637d0b,agt_111,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",35,Frustrated
int_991bfa5b,inv_db342bff,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",46,Frustrated
int_dbf02ba5,inv_08990b1a,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",24,Frustrated
int_38cf006c,inv_bee4df65,agt_111,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",392,Confused
int_74fb0de2,inv_80686ee5,agt_113,2025-10-15,Rejected,"[""Need to ask family""]",210,Skeptical
int_0fd68b58,inv_e525b6c7,agt_110,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",32,Frustrated
int_d06a626b,inv_81846228,agt_103,2025-10-15,Rejected,"[""Competitor has zero commission""]",175,Skeptical
int_23329944,inv_b9b3d9ff,agt_102,2025-10-15,Follow-Up,"[""EMI pressure"", ""Past returns negative"", ""Send details on WhatsApp""]",476,Curious
int_324497fe,inv_e29ed3d3,agt_107,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",35,Frustrated
int_0b08a045,inv_e9f7f411,agt_109,2025-10-15,Rejected,"[""Market is high""]",92,Annoyed
int_c32debe3,inv_11b0bec4,agt_119,2025-10-15,Rejected,"[""Income is irregular"", ""Past returns negative""]",127,Firm
int_4749cf1c,inv_d1b88154,agt_106,2025-10-15,Follow-Up,"[""Market is high"", ""Past returns negative"", ""Send details on WhatsApp""]",469,Busy
int_b3b59a9b,inv_f2c7043e,agt_113,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",29,Frustrated
int_805e10f9,inv_cd4f8a48,agt_103,2025-10-15,Follow-Up,"[""Income is irregular"", ""Past returns negative"", ""Send details on WhatsApp""]",478,Confused
int_34a39de1,inv_cfd1e230,agt_102,2025-10-15,Follow-Up,"[""EMI pressure"", ""Send details on WhatsApp""]",516,Busy
int_7b3a80af,inv_29edc3bc,agt_113,2025-10-15,Follow-Up,"[""Need to ask family"", ""Send details on WhatsApp""]",549,Confused
int_2735a66a,inv_e185adf6,agt_105,2025-10-15,Rejected,"[""Market is high""]",217,Firm
int_95a44c67,inv_b7f39e55,agt_100,2025-10-15,Converted,"[""Initial hesitation resolved""]",503,Relieved
int_e249047f,inv_6ba98e19,agt_101,2025-10-15,Rejected,"[""Need to ask family""]",211,Firm
int_5507d564,inv_e27f4b73,agt_106,2025-10-15,Converted,"[""Initial hesitation resolved""]",601,Trusting
int_6d3208c6,inv_8e9721aa,agt_116,2025-10-15,Rejected,"[""Market is high""]",73,Firm
int_9f6fd7a5,inv_c4c3671f,agt_103,2025-10-15,Follow-Up,"[""EMI pressure"", ""Past returns negative"", ""Send details on WhatsApp""]",250,Confused
int_1ceec0b6,inv_5ffe5985,agt_100,2025-10-15,Rejected,"[""Competitor has zero commission""]",219,Skeptical
int_e2087ff5,inv_a7f62314,agt_102,2025-10-15,Follow-Up,"[""Market is high"", ""Past returns negative"", ""Send details on WhatsApp""]",296,Busy
int_e10b6802,inv_1a120f4b,agt_101,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",58,Frustrated
int_712e18a3,inv_a126e6fb,agt_104,2025-10-15,Converted,"[""Need to ask family""]",458,Enthusiastic
int_adeeef1e,inv_7646e7bc,agt_101,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",273,Curious
int_46f662ea,inv_cd483489,agt_118,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",179,Skeptical
int_54c5dd67,inv_e286bc8a,agt_112,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",110,Skeptical
int_b42940e8,inv_7a579ac2,agt_119,2025-10-15,Rejected,"[""Competitor has zero commission"", ""Past returns negative""]",191,Firm
int_0dfd2bed,inv_b6969344,agt_119,2025-10-15,Rejected,"[""Market is high""]",176,Skeptical
int_aff303b3,inv_3bc709ee,agt_110,2025-10-15,Converted,"[""Market is high""]",1041,Trusting
int_d4de9fd1,inv_30e433be,agt_116,2025-10-15,Converted,"[""Need to ask family""]",582,Enthusiastic
int_3bedffe7,inv_70fea2ab,agt_102,2025-10-15,Rejected,"[""Need to ask family""]",112,Skeptical
int_109cb142,inv_4ff4af8c,agt_109,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",121,Skeptical
int_8d06e88e,inv_30e83bf3,agt_109,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",38,Frustrated
int_e8459980,inv_6bd0f2ad,agt_115,2025-10-15,Rejected,"[""Competitor has zero commission""]",148,Firm
int_1b481b28,inv_4aa0c9b3,agt_117,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Past returns negative"", ""Send details on WhatsApp""]",218,Curious
int_4506aa7a,inv_abc98783,agt_104,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",573,Busy
int_2598d5dd,inv_ed08b17f,agt_104,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",57,Frustrated
int_7e720cd0,inv_f6cc7b69,agt_114,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",38,Frustrated
int_5d9af5fb,inv_0a37023f,agt_115,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",20,Frustrated
int_463d97c5,inv_812358b6,agt_117,2025-10-15,Rejected,"[""Need to ask family""]",161,Skeptical
int_56087de4,inv_6bbdc76d,agt_114,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",524,Busy
int_11a36846,inv_ec5caddb,agt_113,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",48,Frustrated
int_ba4edcc7,inv_279a0b5a,agt_103,2025-10-15,Rejected,"[""Competitor has zero commission""]",198,Annoyed
int_ffbcff08,inv_fde143c6,agt_112,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",29,Frustrated
int_90911315,inv_a1ad787a,agt_107,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",59,Frustrated
int_0fe0a91b,inv_5a223e33,agt_108,2025-10-15,Follow-Up,"[""Income is irregular"", ""Past returns negative"", ""Send details on WhatsApp""]",401,Busy
int_cce696f8,inv_7172fd34,agt_117,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",49,Frustrated
int_80b9a920,inv_e63517e4,agt_100,2025-10-15,Converted,"[""Market is high""]",508,Trusting
int_8816ab0c,inv_7744e917,agt_102,2025-10-15,Rejected,"[""Need liquidity for business""]",110,Firm
int_cc4fbed3,inv_6d44eefa,agt_116,2025-10-15,Rejected,"[""Need to ask family""]",110,Skeptical
int_7aea367d,inv_02721d1f,agt_106,2025-10-15,Converted,"[""Initial hesitation resolved""]",964,Relieved
int_25e445bf,inv_ae376a11,agt_117,2025-10-15,Rejected,"[""Market is high""]",210,Firm
int_bb49df6f,inv_5b78f601,agt_119,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",25,Frustrated
int_22277ef0,inv_f1711935,agt_109,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",48,Frustrated
int_b6cead1e,inv_0b7cec53,agt_105,2025-10-15,Rejected,"[""Competitor has zero commission""]",100,Firm
int_185ea10d,inv_6e2c4619,agt_100,2025-10-15,Rejected,"[""Market is high""]",108,Skeptical
int_1f4cd0dd,inv_fa2ded49,agt_119,2025-10-15,Rejected,"[""Market is high"", ""Past returns negative""]",202,Annoyed
int_fccfe8fe,inv_3e5570f6,agt_104,2025-10-15,Follow-Up,"[""EMI pressure"", ""Send details on WhatsApp""]",269,Busy
int_f81fc4b2,inv_8400e7af,agt_115,2025-10-15,Follow-Up,"[""Need to ask family"", ""Past returns negative"", ""Send details on WhatsApp""]",294,Curious
int_bbb0b400,inv_c6aec745,agt_102,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",53,Frustrated
int_9a420689,inv_2e5a4313,agt_101,2025-10-15,Converted,"[""Competitor has zero commission""]",861,Enthusiastic
int_86973696,inv_91833d09,agt_104,2025-10-15,Follow-Up,"[""Need to ask family"", ""Past returns negative"", ""Send details on WhatsApp""]",293,Curious
int_30f4acb7,inv_3642be43,agt_101,2025-10-15,Rejected,"[""Need liquidity for business"", ""Past returns negative""]",174,Annoyed
int_e9ec0f72,inv_42392bee,agt_101,2025-10-15,Follow-Up,"[""Market is high"", ""Send details on WhatsApp""]",475,Confused
int_8537622b,inv_7a949415,agt_110,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",59,Frustrated
int_90b8641c,inv_559e8c64,agt_107,2025-10-15,Follow-Up,"[""Competitor has zero commission"", ""Send details on WhatsApp""]",405,Confused
int_dcd12751,inv_06958e0d,agt_113,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",59,Frustrated
int_e49b08d4,inv_ac13af96,agt_109,2025-10-15,Rejected,"[""Language Barrier (Agent didn't speak local lang)""]",20,Frustrated
int_225b9ec8,inv_fc1beb0c,agt_101,2025-10-15,Rejected,"[""Need to ask family"", ""Past returns negative""]",229,Skeptical
int_0c733adf,inv_5eed2b46,agt_112,2025-10-15,Rejected,"[""Market is high""]",174,Firm
